paragraph,company,are_they_making_money_off_the_data,can_they_access_other_data_on_your_phone_without_your_permission,can_they_track_your_search_history_outside_of_the_service,can_you_opt_out_of_sections_of_the_policy,conscientious,text_addresses_questions,do_they_protect_information_about_children,do_they_sell_demographic_information,do_they_sell_geolocation_data,do_they_sell_your_data_to_just_anyone,do_they_sell_your_data_to_trusted_3rd_parties,do_you_own_the_pictures_you_post,if_you_delete_your_account_is_your_data_deleted,is_data_provided_to_law_enforcement,is_your_sensitive_financial_data_protected,text_addresses_questions,text_doesnt_address_questions,will_this_company_use_your_data_in_advertising
"SHARING OF YOUR INFORMATION
What happens in the event of a change of control:

If we sell or otherwise transfer part or the whole of Instagram or our assets to another organization (e.g., in the course of a transaction like a merger, acquisition, bankruptcy, dissolution, liquidation), your information such as name and email address, User Content and any other information collected through the Service may be among the items sold or transferred. You will continue to own your User Content. The buyer or transferee will have to honor the commitments we have made in this Privacy Policy.
Responding to legal requests and preventing harm:",Instagram,Yes,No,No,No,No,Yes,No,Yes,Maybe,No,Yes,Yes,No,Yes,No,Yes,No,Yes
"WHAT INFORMATION DO WE GATHER ABOUT YOU?
The information gathered when you interact with the NYT Services falls into two categories: 1) Personal information, which includes personal information you supply when you subscribe, order, complete a survey, register for one of our sites, enter a contest or provide your email address and 2) Non-personal information collected through technology, which includes tracking information collected by us as well as third parties.",NY Times,No,No,No,No,No,Yes,No,No,No,No,Maybe,No,No,No,No,Yes,No,No
"Basic Account Information: When you create or reconfigure an account, you provide some personal information, such as your name, username, password, email address, or phone number. On the Twitter Services, your name and username are listed publicly, including on your profile page and in search results, and you can use either your real name or a pseudonym. Some Twitter Services, such as searching and viewing public user profiles, do not require registration.",Twitter,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No
"Log Data: We may also receive Log Data when you click on, view or interact with links on our Services, including links to third-party applications, such as when you choose to install another application through Twitter. Twitter uses Log Data to provide, understand, and improve our Services, to make inferences, like what topics you may be interested in, and to customize the content we show you, including ads. If not already done earlier, for example, as provided below for Widget Data, we will either delete Log Data or remove any common account identifiers, such as your username, full IP address, or email address, after a maximum of 18 months.",Twitter,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No
"Contact Information: You may use your contact information, such as your email address or phone number, to customize your account or enable Services, for example, for login verification, Twitter via SMS, or Digits by Twitter. If you provide Twitter with your phone number, you agree to receive text messages to that number from Twitter. When you use Digits by Twitter to sign up for or login to a third-party application, you are directing Twitter to share your contact information, such as your phone number, with that application. We may use your contact information to send you information about our Services, to market to you, to help prevent spam, fraud, or abuse, and to help others find your account, including through third-party services and client applications. You may use your settings for email and mobile notifications to control notifications you receive from the Twitter Services. You may also unsubscribe from a notification by following the instructions contained within the notification or the instructions on our website. Your privacy settings control whether others can find you on the Twitter Services by your email address or phone number.",Twitter,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No
"Non-Private or Non-Personal Information: We may share or disclose your non-private, aggregated or otherwise non-personal information, such as your public user profile information, public Tweets, the people you follow or that follow you, or the number of users who clicked on a particular link (even if only one did), or reports to advertisers about unique users who saw or clicked on their ads after we have removed any private personal information (such as your name or contact information).

Accessing and Modifying Your Personal Information
If you are a registered user of our Services, we provide you with tools and account settings to access, correct, delete, or modify the personal information you provided to us and associated with your account. You can download certain account information, including your Tweets, by following the instructions here and request access to additional information here.",Twitter,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes
"Device information
We collect device ­specific information (such as your hardware model, operating system version, unique device
identifiers, and mobile network information including phone number). Google may associate your device
identifiers or phone number with your Google Account.
Log information
When you use our services or view content provided by Google, we automatically collect and store certain
information in server logs. This includes:
details of how you used our service, such as your search queries.
telephony log information like your phone number, calling ­party number, forwarding numbers, time and
date of calls, duration of calls, SMS routing information and types of calls.
Internet protocol address.
device event information such as crashes, system activity, hardware settings, browser type, browser
language, the date and time of your request and referral URL.
cookies that may uniquely identify your browser or your Google Account.",Google,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No
"Service Providers: We engage service providers to perform functions and provide services to us in the United States, Ireland, and other countries. We may share your private personal information with such service providers subject to obligations consistent with this Privacy Policy and any other appropriate confidentiality and security measures, and on the condition that the third parties use your private personal data only on our behalf and pursuant to our instructions. We share your Payment Information with payment services providers to process payments; prevent, detect and investigate fraud or other prohibited activities; facilitate dispute resolution such as chargebacks or refunds; and for other purposes associated with the acceptance of credit or debit cards. ",Twitter,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No
"Reader Surveys, Reader Panels and Market Research

The New York Times may collect personal information from you in connection with voluntary surveys conducted via the NYT Services. Data may be collected through the NYT Services, on the phone or through the mail. The information you provide may be shared, but only in the aggregate, with advertisers and partners unless we notify you otherwise at the time of collection.

Members of our Reader Panels agree to participate in surveys, polls or discussions about their readership of The New York Times, their household/personal characteristics and their purchase behavior. Our panels are currently administered by Vision Critical and Beta Research.",NY Times,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,Maybe
"Tweets, Following, Lists and other Public Information: You can change the language and time zone associated with your account at any time using your account settings. The Twitter Services broadly and instantly disseminate your public information to a wide range of users, customers, and services. For instance, your public user profile information and public Tweets are immediately delivered via SMS and our APIs to our partners and other third parties, including search engines, developers, and publishers that integrate Twitter content into their services, and institutions such as universities and public health agencies that analyze the information for trends and insights. When you share information or content like photos, videos, and links via the Services, you should think carefully about what you are making public.",Twitter,No,No,No,No,No,Yes,No,No,No,No,Maybe,No,No,No,No,Yes,No,No
