paragraph,company,are_they_making_money_off_the_data,can_they_access_other_data_on_your_phone_without_your_permission,can_they_track_your_search_history_outside_of_the_service,can_you_opt_out_of_sections_of_the_policy,conscientious,text_addresses_questions,do_they_protect_information_about_children,do_they_sell_demographic_information,do_they_sell_geolocation_data,do_they_sell_your_data_to_just_anyone,do_they_sell_your_data_to_trusted_3rd_parties,do_you_own_the_pictures_you_post,if_you_delete_your_account_is_your_data_deleted,is_data_provided_to_law_enforcement,is_your_sensitive_financial_data_protected,text_addresses_questions,text_doesnt_address_questions,will_this_company_use_your_data_in_advertising
"SHARING OF YOUR INFORMATION
What happens in the event of a change of control:

If we sell or otherwise transfer part or the whole of Instagram or our assets to another organization (e.g., in the course of a transaction like a merger, acquisition, bankruptcy, dissolution, liquidation), your information such as name and email address, User Content and any other information collected through the Service may be among the items sold or transferred. You will continue to own your User Content. The buyer or transferee will have to honor the commitments we have made in this Privacy Policy.
Responding to legal requests and preventing harm:",Instagram,3,0,0,0,0,16,0,0,0,0,6,3,0,2,0,16,0,0
"Information security
We work hard to protect Google and our users from unauthorized access to or unauthorized alteration, disclosure or destruction
of information we hold. In particular:
We encrypt many of our services using SSL.
We offer you two step verification when you access your Google Account, and a Safe Browsing feature in Google
Chrome.
We review our information collection, storage and processing practices, including physical security measures, to guard
against unauthorized access to systems.
We restrict access to personal information to Google employees, contractors and agents who need to know that
information in order to process it for us, and who are subject to strict contractual confidentiality obligations and may be
disciplined or terminated if they fail to meet these obligations.",Google,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,4,0,0
"Information we share
We may share non­personally identifiable information publicly and with our partners – like publishers, advertisers or connected
sites. For example, we may share information publicly to show trends about the general use of our services.
If Google is involved in a merger, acquisition or asset sale, we will continue to ensure the confidentiality of any personal
information and give affected users notice before personal information is transferred or becomes subject to a different privacy
policy.",Google,0,0,0,1,0,18,0,1,0,0,9,0,0,0,0,18,0,1
"How we use information we collect
We use the information we collect from all of our services to provide, maintain, protect and improve them, to develop new
ones, and to protect Google and our users. We also use this information to offer you tailored content – like giving you more
relevant search results and ads.
We may use the name you provide for your Google Profile across all of the services we offer that require a Google Account. In
addition, we may replace past names associated with your Google Account so that you are represented consistently across all
our services. If other users already have your email, or other information that identifies you, we may show them your publicly
visible Google Profile information, such as your name and photo.",Google,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SHARING OF YOUR INFORMATION

We will not rent or sell your information to third parties outside Instagram (or the group of companies of which Instagram is a part) without your consent, except as noted in this Policy.

Parties with whom we may share your information:

We may share User Content and your information (including but not limited to, information from cookies, log files, device identifiers, location data, and usage data) with businesses that are legally part of the same group of companies that Instagram is part of, or that become part of that group (""Affiliates""). Affiliates may use this information to help provide, understand, and improve the Service (including by providing analytics) and Affiliates' own services (including by providing you with better and more relevant experiences). But these Affiliates will honor the choices you make about who can see your photos.",Instagram,0,0,0,0,0,16,0,0,1,0,8,1,0,0,0,16,0,0
"Third Parties

Some of the services and advertisements included in the NYT Services, including on NYTimes.com and within our mobile apps, are delivered or served by third-party companies, which may collect information about your use of the NYT Services.

These companies may place or recognize cookies, Web beacons or other technology to track certain non-personal information about our website users. For example, in the course of serving certain advertisements, an advertiser may place or recognize a unique cookie on your browser in order to collect certain information about your use of the NYT Services. For another example, an advertiser or ad server may also be able to collect your device’s unique identifier in the course of serving an ad. In many cases, this information could be used to show you ads on other websites based on your interests.

",NY Times,2,0,1,0,0,16,0,0,0,0,8,0,0,0,0,16,0,7
"Analytics, Log Files and Reading History

We have hired third parties to provide us information, reports and analysis about the usage, browsing patterns of our users. They may independently record the type of device and operating system you are using, general location information, as well as events that occur within our apps, such as how often you use our apps.

Location Information. 

Some of our mobile applications can deliver content based on your current location if you choose to enable that feature of the app. If you enable the location-based feature, your current location will be stored locally on your device, which will then be used by the app. If you elect to have a location-based search saved to your history, we will store that information on our servers. If you do not enable the location-based service, or if an app does not have that feature, the app will not transmit to us, and we will not collect or store, location information.

The ads in our apps are not targeted to you based on your current GPS location, but they may be targeted to you based on your ZIP code or device's IP address.",NY Times,0,1,0,1,0,18,0,3,9,0,7,0,0,0,0,18,0,2
"Log Data: We may also receive Log Data when you click on, view or interact with links on our Services, including links to third-party applications, such as when you choose to install another application through Twitter. Twitter uses Log Data to provide, understand, and improve our Services, to make inferences, like what topics you may be interested in, and to customize the content we show you, including ads. If not already done earlier, for example, as provided below for Widget Data, we will either delete Log Data or remove any common account identifiers, such as your username, full IP address, or email address, after a maximum of 18 months.",Twitter,1,1,2,0,0,10,0,1,1,1,3,0,0,1,2,10,0,1
"If you or anyone else using Family Sharing logs on to a device that is owned by a third party, any information shared within your Family including calendar, location, photos, and iTunes purchases may be downloaded on to that third-party device thereby disclosing any such shared information. [See About Family Sharing for more information.]
Integrity and Retention of Personal InformationApple makes it easy for you to keep your personal information accurate, complete, and up to date. We will retain your personal information for the period necessary to fulfill the purposes outlined in this Privacy Policy unless a longer retention period is required or permitted by law.",Apple,0,1,1,0,0,12,0,0,0,0,6,0,0,3,1,12,0,0
"Law and Harm: Notwithstanding anything to the contrary in this Policy, we may preserve or disclose your information if we believe that it is reasonably necessary to comply with a law, regulation, legal process, or governmental request; to protect the safety of any person; to address fraud, security or technical issues; or to protect Twitter’s rights or property. However, nothing in this Privacy Policy is intended to limit any legal defenses or objections that you may have to a third party’s, including a government’s, request to disclose your information.


Business Transfers and Affiliates: In the event that Twitter is involved in a bankruptcy, merger, acquisition, reorganization or sale of assets, your information may be sold or transferred as part of that transaction. This Privacy Policy will apply to your information as transferred to the new entity. We may also disclose information about you to our corporate affiliates in order to help provide, understand, and improve our Services and our affiliates’ services, including the delivery of ads.",Twitter,0,0,0,0,0,18,0,0,0,0,5,0,0,9,0,18,0,2
